# civil-holidays v1
# jurisdiction: IN
# source: Government of India, Ministry of Home Affairs / Dept. of Personnel &
#   Training annual gazette notification of Central Government holidays, tabulated
#   at https://en.wikipedia.org/wiki/Public_holidays_in_India
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# notes:
#   Scope is the CENTRAL government gazetted (closed) holiday list; the optional
#   "restricted" holidays are out of scope. The three fixed days (Republic,
#   Independence, Gandhi Jayanti) are the only nationwide statutory holidays.
#   Islamic holidays resolve through islamic_civil (arithmetic); the gazette
#   follows local moon-sighting, so the tabular date can differ by +/-1 day (the
#   observation caveat). Hindu/Buddhist/Sikh/Jain festivals follow regional
#   panchang computations with NO arithmetic rule in the registry: they are
#   encoded as DECREE data — the exact per-year gazette dates for 2023-2026,
#   honestly tabulated, not computed.
# columns: kind | name | args | categories | subdiv | observed
#
# The MHA/DoPT gazette is issued in English and Hindi; the national days carry
# the Hindi (hi) co-official name alongside English (the English primary is the
# join key used by the golds).
# --- national (fixed) ---
fixed         | en:Republic Day ;; hi:गणतंत्र दिवस             | 1 26   | public          |  |
fixed         | en:Independence Day ;; hi:स्वतंत्रता दिवस       | 8 15   | public          |  |
fixed         | en:Mahatma Gandhi's Jayanti ;; hi:महात्मा गांधी जयंती | 10 2   | public          |  |
#
# --- other central gazetted (fixed / computable) ---
fixed         | Christmas                  | 12 25  | public religious |  |
easter        | Good Friday                | -2     | public religious |  |
#
# --- Islamic (islamic_civil; +/-1 observation caveat) ---
calendar_date | Id-ul-Fitr                 | islamic_civil 10 1  | public religious |  |
calendar_date | Id-ul-Zuha (Bakrid)        | islamic_civil 12 10 | public religious |  |
calendar_date | Muharram                   | islamic_civil 1 10  | public religious |  |
calendar_date | Milad-un-Nabi              | islamic_civil 3 12  | public religious |  |
#
# --- Hindu / Buddhist / Sikh / Jain lunisolar (per-year gazette DECREE data) ---
decree        | Holi              | 2023-3-8 2024-3-25 2025-3-14 2026-3-4 2027-3-22    | public religious |  |
decree        | Ram Navami        | 2023-3-30 2024-4-17 2025-4-6 2026-3-26 2027-4-15   | public religious |  |
decree        | Mahavir Jayanti   | 2023-4-4 2024-4-21 2025-4-10 2026-3-31 2027-4-18   | public religious |  |
decree        | Buddha Purnima    | 2023-5-5 2024-5-23 2025-5-12 2026-5-1 2027-5-20    | public religious |  |
decree        | Janmashtami       | 2023-9-7 2024-8-26 2025-8-16 2026-9-4 2027-8-25    | public religious |  |
decree        | Dussehra          | 2023-10-24 2024-10-12 2025-10-2 2026-10-20 2027-10-09 | public religious |  |
decree        | Diwali (Deepavali)| 2023-11-12 2024-10-31 2025-10-20 2026-11-8 2027-10-29 | public religious |  |
decree        | Guru Nanak's Jayanti | 2023-11-27 2024-11-15 2025-11-5 2026-11-24 2027-11-14 | public religious |  |
decree        | Maha Shivaratri   | 2024-3-8 2025-2-26 2026-2-15 2027-3-6             | public religious |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | New Year's Day | 1 1 | optional |  |  |  |
fixed  | Shivaji's Jayanti | 2 19 | optional |  |  |  |
fixed  | Vaisakhi | 4 13 | optional |  |  |  |
fixed  | Guru Tegh Bahadur's Martyrdom Day | 11 24 | optional |  |  |  |
fixed  | Christmas Eve | 12 24 | optional |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Guru Gobind Singh's Jayanti | 2024-1-17 2025-1-6 2025-12-27 | optional |  |  |  |
decree | Lohri | 2024-1-13 | optional |  |  |  |
decree | Makar Sankranti | 2024-1-14 | optional |  |  |  |
decree | Magh Bihu; Pongal | 2024-1-15 | optional |  |  |  |
decree | Basant Panchami / Sri Panchami | 2024-2-14 2025-2-2 | optional |  |  |  |
decree | Guru Ravi Das's Jayanti | 2024-2-24 2025-2-12 | optional |  |  |  |
decree | Swami Dayanand Saraswati's Jayanti | 2024-3-6 2025-2-23 | optional |  |  |  |
decree | Maha Shivaratri | 2024-3-8 2027-3-6 | optional |  |  |  |
decree | Dolyatra; Holika Dahan | 2024-3-24 2025-3-13 | optional |  |  |  |
decree | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi | 2024-4-9 2025-3-30 | optional |  |  |  |
decree | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu | 2024-4-14 | optional |  |  |  |
decree | Guru Rabindranath's Jayanti | 2024-5-8 2025-5-9 | optional |  |  |  |
decree | Rath Yatra | 2024-7-7 2025-6-27 | optional |  |  |  |
decree | Raksha Bandhan | 2024-8-19 2025-8-9 | optional |  |  |  |
decree | Parsi New Year | 2024-8-15 | optional |  |  |  |
decree | Onam | 2024-9-15 2025-9-5 | optional |  |  |  |
decree | Ganesh Chaturthi / Vinayak Chaturthi | 2024-9-7 2025-8-27 | optional |  |  |  |
decree | Dussehra (Saptami) | 2024-10-10 2025-9-29 | optional |  |  |  |
decree | Dussehra (Mahanavami); Dussehra (Mahashtami) | 2024-10-11 | optional |  |  |  |
decree | Maharishi Valmiki's Jayanti | 2024-10-17 2025-10-7 | optional |  |  |  |
decree | Karaka Chaturthi (Karwa Chouth) | 2024-10-20 2025-10-10 | optional |  |  |  |
decree | Naraka Chaturdashi | 2024-10-31 2025-10-20 | optional |  |  |  |
decree | Govardhan Puja | 2024-11-2 2025-10-22 | optional |  |  |  |
decree | Bhai Duj | 2024-11-3 2025-10-23 | optional |  |  |  |
decree | Pratihar Shashthi or Surya Shashthi (Chhat Puja) | 2024-11-7 2025-10-28 | optional |  |  |  |
decree | Hazarat Ali's Birthday | 2024-1-25 | optional |  |  |  |
decree | Jamat-Ul-Vida | 2024-4-5 2025-3-28 | optional |  |  |  |
decree | Easter Sunday | 2024-3-31 2025-4-20 | optional |  |  |  |
decree | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal | 2025-1-14 | optional |  |  |  |
decree | Ram Navami | 2025-4-6 2026-3-26 2027-4-15 | optional |  |  |  |
